rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,city_type,partid,age
129.0,shortestpath_phase,nat_cornwall.png,50.0,mm_shreveport.png,nat_gatlinburg.png,0.0,mm_shreveport.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
175.8,shortestpath_phase,nat_racine.png,49.0,nat_huntsville.png,mm_leesburg.png,0.0,mm_leesburg.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
287.4,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_hanover.png,mm_carmel.png,0.0,nat_hanover.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
311.1,shortestpath_phase,mm_shreveport.png,49.0,nat_racine.png,mm_carmel.png,0.0,mm_carmel.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
287.8,shortestpath_phase,nat_cornwall.png,50.0,mm_carmel.png,nat_huntsville.png,1.0,nat_huntsville.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
253.9,shortestpath_phase,mm_carmel.png,49.0,mm_westpalmbeach.png,nat_gatlinburg.png,0.0,nat_gatlinburg.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
266.7,shortestpath_phase,nat_racine.png,50.0,mm_leesburg.png,nat_hanover.png,0.0,mm_leesburg.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
149.4,shortestpath_phase,mm_carmel.png,49.0,nat_cornwall.png,mm_shreveport.png,0.0,mm_shreveport.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
149.2,shortestpath_phase,nat_cornwall.png,50.0,nat_huntsville.png,mm_shreveport.png,0.0,nat_huntsville.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
254.0,shortestpath_phase,mm_carmel.png,49.0,nat_cornwall.png,mm_shreveport.png,0.0,mm_shreveport.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
269.9,shortestpath_phase,nat_gatlinburg.png,50.0,nat_hanover.png,nat_peoria.png,1.0,nat_peoria.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
198.2,shortestpath_phase,nat_cornwall.png,50.0,mm_carmel.png,nat_gatlinburg.png,0.0,mm_carmel.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
274.9,shortestpath_phase,nat_huntsville.png,50.0,mm_boulder.png,nat_newhope.png,1.0,nat_newhope.png,One Edge Diff,Two Edge Three Edge,US,67cf70ec9741a100ffc7f570,old
680.0,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_racine.png,mm_boulder.png,1.0,mm_boulder.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
