rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,rt_plussign_withcolor,678597,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
755.2000000001863,,rt_thecrossant_black,679709,,black_plus_sign,,,,,50,,,1,0.9787234042553191,,,,,,,,,,,,,,,,
null,,color_black,679812,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),682823,,black_plus_sign,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),683504,,green,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,684008,,green,,,,,null,US_Cities_List/soldier.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,
1238.7000000001863,,rt_thecrossant_black,685333,,black_plus_sign,,,,,50,,,1,0.9791666666666666,,,,,,,,,,,,,,,,
null,,color_black,685437,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),688452,,black_plus_sign,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),689424,,green,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,689928,,green,,,,,null,US_Cities_List/wheelchair.png,US_Cities_List/teeth.png,,,,,,,,,,,,,,,,,,
1464.5,,rt_thecrossant_black,690962,,black_plus_sign,,,,,50,,,1,0.9795918367346939,,,,,,,,,,,,,,,,
null,,color_black,691064,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),694076,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),694712,,green,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,695215,,green,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
1202,,rt_thecrossant_black,696586,,black_plus_sign,,,,,50,,,1,0.98,,,,,,,,,,,,,,,,
null,,color_black,696690,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),699705,,black_plus_sign,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),700296,,blue,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,700799,,blue,,,,,null,US_Cities_List/snail.png,US_Cities_List/gong.png,,,,,,,,,,,,,,,,,,
