"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","detour_trial","linedressed_detor","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"null","","rt_plussign_withcolor","698429","","blue","","","","","null","US_Cities_List/teeth.png","US_Cities_List/barrel.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1135.0999999940395","","rt_thecrossant_black","699816","","black_plus_sign","","","","","49","","","1","0.9629629629629629","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","699920","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","702936","","black_plus_sign","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","703543","","blue","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","704046","","blue","","","","","null","US_Cities_List/paint.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"719.7999999970198","","rt_thecrossant_black","705447","","black_plus_sign","","","","","49","","","1","0.9636363636363636","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","705551","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","708572","","black_plus_sign","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/hat.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","709034","","green","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/hat.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
