rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position
null,,black_cross(without_color),405545,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,406049,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
1542.2000000029802,,rt_thecrossant_black,407206,black_plus_sign,,,,50,,,1,0.94,,,,,,,,,,,,,,,
null,,color_black,407310,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),409842,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),410627,blue,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,411130,blue,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,412352,black_plus_sign,,,,null,,,,0.94,,,,,,,,,,,,,,,
null,,color_black,412456,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),414987,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),416072,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,416575,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
1256.9000000059605,,rt_thecrossant_black,417497,black_plus_sign,,,,50,,,1,0.9411764705882353,,,,,,,,,,,,,,,
null,,color_black,417602,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),420129,black_plus_sign,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),420785,blue,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
405.30000001192093,,rt_plussign_withcolor,421288,blue,,,,49,US_Cities_List/mm_boulder.png,US_Cities_List/nat_westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,422640,black_plus_sign,,,,null,,,1,0.9423076923076923,,,,,,,,,,,,,,,
null,,color_black,422743,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),425277,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),425908,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,426411,green,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
980.5999999940395,,rt_thecrossant_black,427788,black_plus_sign,,,,50,,,1,0.9433962264150944,,,,,,,,,,,,,,,
null,,color_black,427892,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),430431,black_plus_sign,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_racine.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),431141,green,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/nat_racine.png,,,,,,,,,,,,,,,,,
