rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
null,,color_black,659664,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),662680,,black_plus_sign,,,,,null,US_Cities_List/globe.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),663533,,blue,,,,,null,US_Cities_List/globe.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,664037,,blue,,,,,null,US_Cities_List/globe.png,US_Cities_List/paint.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269.5,,rt_thecrossant_black,665190,,black_plus_sign,,,,,49,,,1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,665293,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),668308,,black_plus_sign,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),668821,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,669324,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629.5,,rt_thecrossant_black,670817,,black_plus_sign,,,,,50,,,1,0.9512195121951219,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,670920,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),673936,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),674618,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/camera.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
